purchase_id,customer_id,product_id,purchase_date,quantity,total_amount,first_name,last_name,gender,date_of_birth,email,phone_number,signup_date,address,city,state,zip_code,product_name,category,price_per_unit,brand,product_description
11,2,14,2023-07-27 15:38:24,1,49.407459133126494,Emily,Garcia,Female,1989-09-21 17:56:31,robert.williams2@mail.com,386-635-5998,2021-04-04 14:24:06,305 Main St,New York,AZ,23187,Milk,Fruits,3.89,BrandB,Description for Bread
12,2,444,2023-09-14 07:17:41,2,39.661526868045016,Emily,Garcia,Female,1989-09-21 17:56:31,robert.williams2@mail.com,386-635-5998,2021-04-04 14:24:06,305 Main St,New York,AZ,23187,Butter,Fruits,6.89,BrandE,Description for Apple
13,2,150,2021-12-09 11:20:22,3,30.6302692291152,Emily,Garcia,Female,1989-09-21 17:56:31,robert.williams2@mail.com,386-635-5998,2021-04-04 14:24:06,305 Main St,New York,AZ,23187,Butter,Grains,22.39,BrandB,Description for Cheese
14,2,55,2022-12-19 10:28:44,1,42.61748689307072,Emily,Garcia,Female,1989-09-21 17:56:31,robert.williams2@mail.com,386-635-5998,2021-04-04 14:24:06,305 Main St,New York,AZ,23187,Apple,Meats,23.58,BrandD,Description for Apple
15,2,134,2021-10-22 21:46:22,3,137.08249973105922,Emily,Garcia,Female,1989-09-21 17:56:31,robert.williams2@mail.com,386-635-5998,2021-04-04 14:24:06,305 Main St,New York,AZ,23187,Rice,Fruits,23.98,BrandE,Description for Cheese
16,2,107,2022-07-31 10:35:19,3,11.311573271738684,Emily,Garcia,Female,1989-09-21 17:56:31,robert.williams2@mail.com,386-635-5998,2021-04-04 14:24:06,305 Main St,New York,AZ,23187,Milk,Dairy,5.65,BrandC,Description for Chicken
17,2,415,2023-03-20 14:08:32,2,91.3159788324202,Emily,Garcia,Female,1989-09-21 17:56:31,robert.williams2@mail.com,386-635-5998,2021-04-04 14:24:06,305 Main St,New York,AZ,23187,Rice,Grains,24.08,BrandD,Description for Eggs
18,2,389,2022-11-01 10:16:21,4,182.2416562759003,Emily,Garcia,Female,1989-09-21 17:56:31,robert.williams2@mail.com,386-635-5998,2021-04-04 14:24:06,305 Main St,New York,AZ,23187,Eggs,Fruits,1.72,BrandA,Description for Banana
19,2,123,2022-11-24 03:14:17,4,99.92195439364824,Emily,Garcia,Female,1989-09-21 17:56:31,robert.williams2@mail.com,386-635-5998,2021-04-04 14:24:06,305 Main St,New York,AZ,23187,Milk,Dairy,14.39,BrandB,Description for Butter
20,3,459,2019-03-22 02:00:03,3,32.81843738399608,Jessica,Brown,Male,1984-01-21 21:43:13,emily.davis3@mail.com,627-341-5213,2018-04-22 04:51:57,5725 Oak St,Chicago,AZ,99188,Banana,Fruits,9.43,BrandC,Description for Bread
21,3,25,2022-09-05 09:27:41,3,125.49925556355086,Jessica,Brown,Male,1984-01-21 21:43:13,emily.davis3@mail.com,627-341-5213,2018-04-22 04:51:57,5725 Oak St,Chicago,AZ,99188,Bread,Dairy,8.83,BrandD,Description for Milk
22,3,476,2019-08-08 06:18:26,1,11.700881644800202,Jessica,Brown,Male,1984-01-21 21:43:13,emily.davis3@mail.com,627-341-5213,2018-04-22 04:51:57,5725 Oak St,Chicago,AZ,99188,Rice,Fruits,22.24,BrandA,Description for Butter
23,3,232,2023-01-09 00:52:25,5,171.30018727097115,Jessica,Brown,Male,1984-01-21 21:43:13,emily.davis3@mail.com,627-341-5213,2018-04-22 04:51:57,5725 Oak St,Chicago,AZ,99188,Cheese,Fruits,12.9,BrandB,Description for Pasta
24,3,71,2019-01-17 08:21:41,3,68.8606868345945,Jessica,Brown,Male,1984-01-21 21:43:13,emily.davis3@mail.com,627-341-5213,2018-04-22 04:51:57,5725 Oak St,Chicago,AZ,99188,Rice,Dairy,3.34,BrandC,Description for Eggs
25,3,230,2021-01-01 09:33:32,4,191.00395657351183,Jessica,Brown,Male,1984-01-21 21:43:13,emily.davis3@mail.com,627-341-5213,2018-04-22 04:51:57,5725 Oak St,Chicago,AZ,99188,Butter,Grains,2.9,BrandB,Description for Cheese
26,3,213,2018-09-20 10:59:29,4,128.96347256678524,Jessica,Brown,Male,1984-01-21 21:43:13,emily.davis3@mail.com,627-341-5213,2018-04-22 04:51:57,5725 Oak St,Chicago,AZ,99188,Eggs,Fruits,16.79,BrandC,Description for Chicken
27,3,127,2019-12-27 12:36:23,1,8.503418808214136,Jessica,Brown,Male,1984-01-21 21:43:13,emily.davis3@mail.com,627-341-5213,2018-04-22 04:51:57,5725 Oak St,Chicago,AZ,99188,Eggs,Grains,6.95,BrandE,Description for Eggs
28,3,328,2019-05-06 19:44:14,3,65.14009103722114,Jessica,Brown,Male,1984-01-21 21:43:13,emily.davis3@mail.com,627-341-5213,2018-04-22 04:51:57,5725 Oak St,Chicago,AZ,99188,Milk,Meats,11.71,BrandB,Description for Eggs
29,3,6,2020-02-28 01:51:10,5,244.7203119442381,Jessica,Brown,Male,1984-01-21 21:43:13,emily.davis3@mail.com,627-341-5213,2018-04-22 04:51:57,5725 Oak St,Chicago,AZ,99188,Chicken,Dairy,2.7,BrandA,Description for Apple
30,3,24,2018-09-25 22:52:00,5,211.87268272244427,Jessica,Brown,Male,1984-01-21 21:43:13,emily.davis3@mail.com,627-341-5213,2018-04-22 04:51:57,5725 Oak St,Chicago,AZ,99188,Bread,Dairy,14.36,BrandD,Description for Milk
31,3,349,2018-09-23 06:12:24,3,56.784833952808825,Jessica,Brown,Male,1984-01-21 21:43:13,emily.davis3@mail.com,627-341-5213,2018-04-22 04:51:57,5725 Oak St,Chicago,AZ,99188,Bread,Dairy,5.87,BrandD,Description for Butter
32,3,252,2022-11-12 00:46:24,2,4.122401442951305,Jessica,Brown,Male,1984-01-21 21:43:13,emily.davis3@mail.com,627-341-5213,2018-04-22 04:51:57,5725 Oak St,Chicago,AZ,99188,Bread,Fruits,2.94,BrandD,Description for Milk
33,3,146,2020-06-03 22:43:44,2,71.66954187514949,Jessica,Brown,Male,1984-01-21 21:43:13,emily.davis3@mail.com,627-341-5213,2018-04-22 04:51:57,5725 Oak St,Chicago,AZ,99188,Rice,Fruits,20.37,BrandB,Description for Bread
34,4,327,2020-08-05 01:30:43,1,29.698496965794835,Michael,Brown,Male,1986-02-06 13:09:53,jessica.williams4@mail.com,126-662-8981,2018-07-06 17:45:14,8468 Oak St,Los Angeles,TX,77421,Apple,Meats,26.56,BrandE,Description for Bread
35,4,305,2022-07-18 04:54:39,1,14.453941727047198,Michael,Brown,Male,1986-02-06 13:09:53,jessica.williams4@mail.com,126-662-8981,2018-07-06 17:45:14,8468 Oak St,Los Angeles,TX,77421,Pasta,Meats,6.06,BrandD,Description for Pasta
36,4,35,2021-02-08 21:17:14,2,70.41846478874332,Michael,Brown,Male,1986-02-06 13:09:53,jessica.williams4@mail.com,126-662-8981,2018-07-06 17:45:14,8468 Oak St,Los Angeles,TX,77421,Apple,Grains,14.14,BrandA,Description for Milk
37,4,378,2023-09-29 20:37:23,1,43.52996749859884,Michael,Brown,Male,1986-02-06 13:09:53,jessica.williams4@mail.com,126-662-8981,2018-07-06 17:45:14,8468 Oak St,Los Angeles,TX,77421,Pasta,Dairy,5.73,BrandE,Description for Banana
38,4,393,2021-05-03 11:22:08,2,42.40874524248973,Michael,Brown,Male,1986-02-06 13:09:53,jessica.williams4@mail.com,126-662-8981,2018-07-06 17:45:14,8468 Oak St,Los Angeles,TX,77421,Pasta,Grains,19.51,BrandB,Description for Banana
39,4,335,2018-08-22 06:35:46,1,3.8224220683969103,Michael,Brown,Male,1986-02-06 13:09:53,jessica.williams4@mail.com,126-662-8981,2018-07-06 17:45:14,8468 Oak St,Los Angeles,TX,77421,Apple,Dairy,13.08,BrandB,Description for Bread
40,4,329,2019-08-23 04:34:55,1,8.306429528737489,Michael,Brown,Male,1986-02-06 13:09:53,jessica.williams4@mail.com,126-662-8981,2018-07-06 17:45:14,8468 Oak St,Los Angeles,TX,77421,Pasta,Dairy,3.24,BrandD,Description for Pasta
41,4,370,2018-07-09 16:22:41,1,39.81217167519199,Michael,Brown,Male,1986-02-06 13:09:53,jessica.williams4@mail.com,126-662-8981,2018-07-06 17:45:14,8468 Oak St,Los Angeles,TX,77421,Rice,Meats,21.7,BrandA,Description for Rice
42,4,86,2019-01-24 17:11:21,2,88.12662081411254,Michael,Brown,Male,1986-02-06 13:09:53,jessica.williams4@mail.com,126-662-8981,2018-07-06 17:45:14,8468 Oak St,Los Angeles,TX,77421,Chicken,Meats,2.5,BrandA,Description for Cheese
43,4,351,2020-12-04 09:30:20,3,127.87549314333944,Michael,Brown,Male,1986-02-06 13:09:53,jessica.williams4@mail.com,126-662-8981,2018-07-06 17:45:14,8468 Oak St,Los Angeles,TX,77421,Banana,Meats,23.25,BrandD,Description for Banana
44,4,199,2022-11-15 02:17:33,4,166.6255900137933,Michael,Brown,Male,1986-02-06 13:09:53,jessica.williams4@mail.com,126-662-8981,2018-07-06 17:45:14,8468 Oak St,Los Angeles,TX,77421,Pasta,Meats,26.53,BrandD,Description for Chicken
45,4,322,2019-01-18 18:14:22,5,185.6809628174348,Michael,Brown,Male,1986-02-06 13:09:53,jessica.williams4@mail.com,126-662-8981,2018-07-06 17:45:14,8468 Oak St,Los Angeles,TX,77421,Cheese,Dairy,22.57,BrandC,Description for Banana
46,4,348,2019-07-16 16:18:27,4,186.7967631223698,Michael,Brown,Male,1986-02-06 13:09:53,jessica.williams4@mail.com,126-662-8981,2018-07-06 17:45:14,8468 Oak St,Los Angeles,TX,77421,Cheese,Grains,26.68,BrandC,Description for Bread
47,4,299,2019-09-09 20:40:10,3,60.54151257322162,Michael,Brown,Male,1986-02-06 13:09:53,jessica.williams4@mail.com,126-662-8981,2018-07-06 17:45:14,8468 Oak St,Los Angeles,TX,77421,Pasta,Dairy,22.88,BrandB,Description for Cheese
48,4,80,2020-10-17 19:00:12,4,77.85189511242356,Michael,Brown,Male,1986-02-06 13:09:53,jessica.williams4@mail.com,126-662-8981,2018-07-06 17:45:14,8468 Oak St,Los Angeles,TX,77421,Cheese,Meats,11.56,BrandB,Description for Chicken
49,4,228,2022-12-18 23:56:51,5,42.19568574795653,Michael,Brown,Male,1986-02-06 13:09:53,jessica.williams4@mail.com,126-662-8981,2018-07-06 17:45:14,8468 Oak St,Los Angeles,TX,77421,Apple,Dairy,4.52,BrandA,Description for Chicken
50,4,94,2020-06-13 10:34:49,1,24.099638897117508,Michael,Brown,Male,1986-02-06 13:09:53,jessica.williams4@mail.com,126-662-8981,2018-07-06 17:45:14,8468 Oak St,Los Angeles,TX,77421,Pasta,Meats,13.97,BrandE,Description for Chicken
51,4,215,2021-07-23 19:01:46,2,60.00134700014126,Michael,Brown,Male,1986-02-06 13:09:53,jessica.williams4@mail.com,126-662-8981,2018-07-06 17:45:14,8468 Oak St,Los Angeles,TX,77421,Pasta,Meats,26.74,BrandE,Description for Milk
52,5,234,2021-05-04 02:15:16,4,151.406844284802,Robert,Jones,Male,1996-12-05 05:10:11,robert.martinez5@mail.com,758-947-2802,2018-03-11 01:43:10,2820 Maple St,Chicago,TX,36281,Bread,Dairy,21.57,BrandC,Description for Chicken
53,5,107,2019-04-07 22:42:53,2,90.11795885373196,Robert,Jones,Male,1996-12-05 05:10:11,robert.martinez5@mail.com,758-947-2802,2018-03-11 01:43:10,2820 Maple St,Chicago,TX,36281,Milk,Dairy,5.65,BrandC,Description for Chicken
54,5,275,2018-10-22 23:32:03,4,189.11566054866907,Robert,Jones,Male,1996-12-05 05:10:11,robert.martinez5@mail.com,758-947-2802,2018-03-11 01:43:10,2820 Maple St,Chicago,TX,36281,Rice,Meats,7.13,BrandD,Description for Chicken
55,5,21,2023-03-29 05:15:25,5,148.58130396286822,Robert,Jones,Male,1996-12-05 05:10:11,robert.martinez5@mail.com,758-947-2802,2018-03-11 01:43:10,2820 Maple St,Chicago,TX,36281,Cheese,Grains,26.72,BrandB,Description for Milk
56,5,343,2019-06-13 13:05:35,3,48.2657227771364,Robert,Jones,Male,1996-12-05 05:10:11,robert.martinez5@mail.com,758-947-2802,2018-03-11 01:43:10,2820 Maple St,Chicago,TX,36281,Milk,Meats,4.3,BrandE,Description for Cheese
57,6,260,2020-12-23 07:39:43,5,119.42789726463752,Linda,Garcia,Male,1981-06-28 01:55:30,william.davis6@mail.com,781-582-3504,2020-07-29 19:11:28,4537 Main St,Chicago,CA,90264,Cheese,Fruits,5.8,BrandA,Description for Chicken
58,6,270,2020-09-21 11:41:24,1,40.34752240092938,Linda,Garcia,Male,1981-06-28 01:55:30,william.davis6@mail.com,781-582-3504,2020-07-29 19:11:28,4537 Main St,Chicago,CA,90264,Pasta,Fruits,28.96,BrandC,Description for Pasta
59,6,226,2022-08-06 06:50:36,5,49.82904455063281,Linda,Garcia,Male,1981-06-28 01:55:30,william.davis6@mail.com,781-582-3504,2020-07-29 19:11:28,4537 Main St,Chicago,CA,90264,Chicken,Fruits,28.4,BrandA,Description for Pasta
60,6,350,2022-01-29 13:26:14,3,8.904723800102335,Linda,Garcia,Male,1981-06-28 01:55:30,william.davis6@mail.com,781-582-3504,2020-07-29 19:11:28,4537 Main St,Chicago,CA,90264,Butter,Dairy,10.88,BrandA,Description for Bread
61,6,274,2022-04-20 00:51:20,2,31.092000975080403,Linda,Garcia,Male,1981-06-28 01:55:30,william.davis6@mail.com,781-582-3504,2020-07-29 19:11:28,4537 Main St,Chicago,CA,90264,Butter,Meats,29.39,BrandD,Description for Cheese
62,6,447,2023-02-15 00:08:09,2,72.88116518140642,Linda,Garcia,Male,1981-06-28 01:55:30,william.davis6@mail.com,781-582-3504,2020-07-29 19:11:28,4537 Main St,Chicago,CA,90264,Chicken,Grains,17.06,BrandA,Description for Chicken
63,6,332,2021-12-19 21:35:50,1,10.513305797653826,Linda,Garcia,Male,1981-06-28 01:55:30,william.davis6@mail.com,781-582-3504,2020-07-29 19:11:28,4537 Main St,Chicago,CA,90264,Eggs,Fruits,20.42,BrandE,Description for Apple
64,6,357,2022-10-02 17:17:01,2,15.079254301458802,Linda,Garcia,Male,1981-06-28 01:55:30,william.davis6@mail.com,781-582-3504,2020-07-29 19:11:28,4537 Main St,Chicago,CA,90264,Pasta,Grains,5.56,BrandB,Description for Milk
65,6,174,2022-09-22 17:28:26,2,3.5730693639929085,Linda,Garcia,Male,1981-06-28 01:55:30,william.davis6@mail.com,781-582-3504,2020-07-29 19:11:28,4537 Main St,Chicago,CA,90264,Apple,Dairy,26.24,BrandC,Description for Pasta
66,6,427,2021-04-04 03:05:55,1,25.407112383701943,Linda,Garcia,Male,1981-06-28 01:55:30,william.davis6@mail.com,781-582-3504,2020-07-29 19:11:28,4537 Main St,Chicago,CA,90264,Apple,Fruits,6.19,BrandA,Description for Banana
67,6,224,2023-07-15 03:20:02,4,114.53401750251024,Linda,Garcia,Male,1981-06-28 01:55:30,william.davis6@mail.com,781-582-3504,2020-07-29 19:11:28,4537 Main St,Chicago,CA,90264,Rice,Grains,4.55,BrandC,Description for Pasta
68,7,329,2022-12-24 10:45:42,2,60.10281912250504,Alex,Jones,Male,1987-05-21 06:38:51,john.williams7@mail.com,687-991-1638,2018-01-02 08:22:41,5773 Maple St,Phoenix,NY,52732,Pasta,Dairy,3.24,BrandD,Description for Pasta
69,7,109,2020-03-20 10:21:56,4,118.68935713890596,Alex,Jones,Male,1987-05-21 06:38:51,john.williams7@mail.com,687-991-1638,2018-01-02 08:22:41,5773 Maple St,Phoenix,NY,52732,Pasta,Grains,24.51,BrandE,Description for Banana
70,7,362,2023-02-19 22:49:24,1,46.74914106158312,Alex,Jones,Male,1987-05-21 06:38:51,john.williams7@mail.com,687-991-1638,2018-01-02 08:22:41,5773 Maple St,Phoenix,NY,52732,Bread,Grains,9.38,BrandB,Description for Pasta
71,7,326,2018-04-08 17:06:48,2,46.95625181584539,Alex,Jones,Male,1987-05-21 06:38:51,john.williams7@mail.com,687-991-1638,2018-01-02 08:22:41,5773 Maple St,Phoenix,NY,52732,Cheese,Meats,2.8,BrandA,Description for Cheese
72,7,115,2021-11-14 08:40:37,4,55.311547226709095,Alex,Jones,Male,1987-05-21 06:38:51,john.williams7@mail.com,687-991-1638,2018-01-02 08:22:41,5773 Maple St,Phoenix,NY,52732,Banana,Fruits,28.09,BrandE,Description for Eggs
73,7,185,2022-03-20 23:35:48,2,58.30181922516439,Alex,Jones,Male,1987-05-21 06:38:51,john.williams7@mail.com,687-991-1638,2018-01-02 08:22:41,5773 Maple St,Phoenix,NY,52732,Eggs,Fruits,8.37,BrandB,Description for Pasta
74,7,114,2022-07-09 01:54:41,2,65.55765677980858,Alex,Jones,Male,1987-05-21 06:38:51,john.williams7@mail.com,687-991-1638,2018-01-02 08:22:41,5773 Maple St,Phoenix,NY,52732,Rice,Fruits,20.65,BrandB,Description for Cheese
75,7,92,2020-04-03 11:11:39,1,14.962282499910309,Alex,Jones,Male,1987-05-21 06:38:51,john.williams7@mail.com,687-991-1638,2018-01-02 08:22:41,5773 Maple St,Phoenix,NY,52732,Butter,Grains,15.06,BrandB,Description for Pasta
76,7,155,2021-07-13 15:19:30,2,94.12848661282553,Alex,Jones,Male,1987-05-21 06:38:51,john.williams7@mail.com,687-991-1638,2018-01-02 08:22:41,5773 Maple St,Phoenix,NY,52732,Pasta,Dairy,10.82,BrandC,Description for Chicken
77,7,130,2020-06-14 09:09:05,3,127.2193181557531,Alex,Jones,Male,1987-05-21 06:38:51,john.williams7@mail.com,687-991-1638,2018-01-02 08:22:41,5773 Maple St,Phoenix,NY,52732,Rice,Meats,26.63,BrandD,Description for Butter
78,7,83,2019-06-05 04:53:35,1,2.975293263519561,Alex,Jones,Male,1987-05-21 06:38:51,john.williams7@mail.com,687-991-1638,2018-01-02 08:22:41,5773 Maple St,Phoenix,NY,52732,Eggs,Meats,11.49,BrandB,Description for Pasta
79,7,343,2020-03-16 00:03:53,4,187.90781748861275,Alex,Jones,Male,1987-05-21 06:38:51,john.williams7@mail.com,687-991-1638,2018-01-02 08:22:41,5773 Maple St,Phoenix,NY,52732,Milk,Meats,4.3,BrandE,Description for Cheese
80,7,188,2020-10-27 11:56:54,5,178.10789802006389,Alex,Jones,Male,1987-05-21 06:38:51,john.williams7@mail.com,687-991-1638,2018-01-02 08:22:41,5773 Maple St,Phoenix,NY,52732,Chicken,Meats,15.42,BrandE,Description for Eggs
81,7,106,2020-05-19 09:55:45,2,94.22059475149835,Alex,Jones,Male,1987-05-21 06:38:51,john.williams7@mail.com,687-991-1638,2018-01-02 08:22:41,5773 Maple St,Phoenix,NY,52732,Rice,Grains,21.03,BrandC,Description for Banana
82,7,482,2019-08-14 15:30:48,3,103.14678771289974,Alex,Jones,Male,1987-05-21 06:38:51,john.williams7@mail.com,687-991-1638,2018-01-02 08:22:41,5773 Maple St,Phoenix,NY,52732,Milk,Dairy,2.82,BrandC,Description for Rice
83,7,206,2018-09-23 07:26:50,4,164.06588604804463,Alex,Jones,Male,1987-05-21 06:38:51,john.williams7@mail.com,687-991-1638,2018-01-02 08:22:41,5773 Maple St,Phoenix,NY,52732,Butter,Fruits,13.3,BrandC,Description for Eggs
84,8,475,2018-12-02 20:57:53,1,10.74372878830441,Robert,Garcia,Male,1961-08-23 20:07:35,john.davis8@mail.com,177-295-1630,2018-02-21 18:52:20,6277 Pine St,Chicago,NY,74294,Cheese,Dairy,14.34,BrandD,Description for Milk
85,8,292,2019-12-13 17:07:40,2,20.366638821264957,Robert,Garcia,Male,1961-08-23 20:07:35,john.davis8@mail.com,177-295-1630,2018-02-21 18:52:20,6277 Pine St,Chicago,NY,74294,Eggs,Dairy,18.45,BrandE,Description for Milk
86,8,271,2020-07-14 12:58:37,5,11.865119251133487,Robert,Garcia,Male,1961-08-23 20:07:35,john.davis8@mail.com,177-295-1630,2018-02-21 18:52:20,6277 Pine St,Chicago,NY,74294,Rice,Grains,28.63,BrandD,Description for Pasta
87,9,45,2023-08-02 23:47:27,1,37.304995121290666,Jessica,Martinez,Female,1969-03-06 17:14:56,michael.davis9@mail.com,879-819-9602,2022-01-18 17:11:58,4148 Oak St,Chicago,PA,81465,Eggs,Meats,21.45,BrandB,Description for Bread
88,9,195,2023-01-25 02:31:30,1,1.546734834857482,Jessica,Martinez,Female,1969-03-06 17:14:56,michael.davis9@mail.com,879-819-9602,2022-01-18 17:11:58,4148 Oak St,Chicago,PA,81465,Rice,Dairy,9.9,BrandD,Description for Butter
89,9,290,2022-02-25 15:06:31,2,83.47846261256126,Jessica,Martinez,Female,1969-03-06 17:14:56,michael.davis9@mail.com,879-819-9602,2022-01-18 17:11:58,4148 Oak St,Chicago,PA,81465,Banana,Dairy,19.32,BrandD,Description for Cheese
90,9,80,2022-02-10 04:45:01,3,81.8958710266161,Jessica,Martinez,Female,1969-03-06 17:14:56,michael.davis9@mail.com,879-819-9602,2022-01-18 17:11:58,4148 Oak St,Chicago,PA,81465,Cheese,Meats,11.56,BrandB,Description for Chicken
91,9,20,2023-05-30 21:06:38,3,59.09655674767954,Jessica,Martinez,Female,1969-03-06 17:14:56,michael.davis9@mail.com,879-819-9602,2022-01-18 17:11:58,4148 Oak St,Chicago,PA,81465,Eggs,Meats,1.0,BrandB,Description for Butter
92,9,326,2022-06-14 22:54:22,2,46.25658554395462,Jessica,Martinez,Female,1969-03-06 17:14:56,michael.davis9@mail.com,879-819-9602,2022-01-18 17:11:58,4148 Oak St,Chicago,PA,81465,Cheese,Meats,2.8,BrandA,Description for Cheese
93,9,321,2022-12-24 10:06:34,4,170.014438855495,Jessica,Martinez,Female,1969-03-06 17:14:56,michael.davis9@mail.com,879-819-9602,2022-01-18 17:11:58,4148 Oak St,Chicago,PA,81465,Rice,Grains,13.73,BrandE,Description for Pasta
94,9,90,2023-02-19 23:17:23,2,88.92572564779805,Jessica,Martinez,Female,1969-03-06 17:14:56,michael.davis9@mail.com,879-819-9602,2022-01-18 17:11:58,4148 Oak St,Chicago,PA,81465,Pasta,Meats,9.56,BrandD,Description for Butter
95,9,143,2023-09-04 10:11:53,3,50.849552631318176,Jessica,Martinez,Female,1969-03-06 17:14:56,michael.davis9@mail.com,879-819-9602,2022-01-18 17:11:58,4148 Oak St,Chicago,PA,81465,Bread,Meats,9.54,BrandB,Description for Cheese
96,9,107,2022-12-06 04:26:48,5,13.24094987735862,Jessica,Martinez,Female,1969-03-06 17:14:56,michael.davis9@mail.com,879-819-9602,2022-01-18 17:11:58,4148 Oak St,Chicago,PA,81465,Milk,Dairy,5.65,BrandC,Description for Chicken
97,9,222,2022-11-29 05:25:16,4,42.2163887504608,Jessica,Martinez,Female,1969-03-06 17:14:56,michael.davis9@mail.com,879-819-9602,2022-01-18 17:11:58,4148 Oak St,Chicago,PA,81465,Pasta,Grains,10.77,BrandD,Description for Milk
98,9,358,2022-03-25 00:53:39,3,134.83950136452248,Jessica,Martinez,Female,1969-03-06 17:14:56,michael.davis9@mail.com,879-819-9602,2022-01-18 17:11:58,4148 Oak St,Chicago,PA,81465,Rice,Meats,3.92,BrandC,Description for Cheese
99,9,391,2023-07-19 22:27:46,2,9.076375170846704,Jessica,Martinez,Female,1969-03-06 17:14:56,michael.davis9@mail.com,879-819-9602,2022-01-18 17:11:58,4148 Oak St,Chicago,PA,81465,Cheese,Meats,5.06,BrandE,Description for Pasta
100,9,438,2023-03-10 23:32:46,5,59.485154906359,Jessica,Martinez,Female,1969-03-06 17:14:56,michael.davis9@mail.com,879-819-9602,2022-01-18 17:11:58,4148 Oak St,Chicago,PA,81465,Chicken,Fruits,3.94,BrandE,Description for Eggs
101,9,43,2023-10-21 05:33:49,4,130.6626874531452,Jessica,Martinez,Female,1969-03-06 17:14:56,michael.davis9@mail.com,879-819-9602,2022-01-18 17:11:58,4148 Oak St,Chicago,PA,81465,Milk,Meats,7.03,BrandE,Description for Butter
102,9,376,2022-02-11 20:59:16,3,55.013538787785535,Jessica,Martinez,Female,1969-03-06 17:14:56,michael.davis9@mail.com,879-819-9602,2022-01-18 17:11:58,4148 Oak St,Chicago,PA,81465,Bread,Fruits,10.59,BrandA,Description for Banana
103,9,144,2023-01-08 06:25:35,4,128.57617143806024,Jessica,Martinez,Female,1969-03-06 17:14:56,michael.davis9@mail.com,879-819-9602,2022-01-18 17:11:58,4148 Oak St,Chicago,PA,81465,Rice,Meats,13.12,BrandD,Description for Pasta
104,9,304,2023-06-01 17:08:12,4,13.789307608743943,Jessica,Martinez,Female,1969-03-06 17:14:56,michael.davis9@mail.com,879-819-9602,2022-01-18 17:11:58,4148 Oak St,Chicago,PA,81465,Cheese,Meats,5.86,BrandB,Description for Apple
105,9,103,2023-06-27 05:42:52,3,130.95891729889834,Jessica,Martinez,Female,1969-03-06 17:14:56,michael.davis9@mail.com,879-819-9602,2022-01-18 17:11:58,4148 Oak St,Chicago,PA,81465,Butter,Grains,24.37,BrandA,Description for Eggs
106,10,120,2022-03-09 11:43:24,4,62.55922381500893,Michael,Smith,Female,1964-04-09 15:55:20,sarah.rodriguez10@mail.com,319-694-5299,2020-03-22 03:08:52,5143 Oak St,Houston,IL,44666,Butter,Grains,21.39,BrandD,Description for Apple
